"","raw_batch1_07262021_MT___MT_20210726_001","raw_batch1_07262021_MT___MT_20210726_003","raw_batch1_07262021_MT___MT_20210726_005","raw_batch1_07262021_MT___MT_20210726_007","raw_batch1_07262021_MT___MT_20210726_009","raw_batch1_07262021_MT___MT_20210726_095","raw_batch1_07262021_MT___MT_20210726_097","raw_batch1_07262021_MT___MT_20210726_193","raw_batch1_07262021_MT___Blank_20210726_003"
"F755",419259,0,0,0,0,0,0,0,0
"F756",908654,1079908,902203,972329,902028,580021,649657,586975,273176
"F758",0,0,0,0,0,0,0,0,0
"F759",0,0,0,0,0,0,0,0,0
"F760",0,0,0,0,0,0,0,0,0
"F761",0,0,0,0,0,0,0,0,0
"F762",0,0,0,0,0,0,0,0,0
"F764",0,0,0,0,0,0,0,0,0
"F765",3013570,1825770,1495252,1270349,1407475,1226309,1011525,974514,0
"F766",0,0,0,0,0,0,0,0,0
"F767",0,0,0,0,0,0,0,0,0
"F768",0,0,0,0,0,0,0,0,0
"F769",0,0,0,0,0,0,0,0,0
"F770",0,0,0,0,0,0,0,0,0
"F772",0,0,0,0,0,0,0,0,0
"F773",0,0,0,0,0,0,0,0,0
"F774",3005572,5031686,7137159,7649042,7308690,11467152,11901426,22809940,0
"F775",137994,158536,171875,175880,117627,194209,173368,242321,273958
"F776",2183644,2019475,1829479,1900248,1930961,1833498,1973077,2050410,339355
"F777",3451954,2779702,2398201,2416696,2365105,2447439,2187310,2235902,241711
"F778",3369498,3389407,3259636,3069552,3093953,2591653,3067633,2641497,307738
"F779",0,0,0,0,0,0,0,0,0
"F780",0,0,0,0,0,0,0,0,0
"F781",0,0,0,0,0,0,0,0,0
"F782",0,408415,0,446959,0,0,0,477038,0
"F783",0,0,0,0,0,0,0,0,0
"F784",0,0,0,0,0,0,0,0,0
"F785",0,0,0,0,0,0,0,0,0
"F786",0,0,0,0,0,0,0,0,0
"F788",0,0,0,0,0,0,0,0,0
"F790",0,0,0,0,0,0,0,0,0
"F797",0,0,0,0,0,0,0,0,0
"F798",0,0,0,0,0,0,0,0,0
"F800",0,0,0,0,0,0,0,0,0
"F801",0,0,0,0,0,0,0,0,0
"F802",0,0,0,0,0,0,0,0,0
"F803",0,0,0,0,0,0,0,0,0
"F804",425730,0,0,0,0,0,36740,210761,0
"F806",45085,0,0,0,0,0,113577,59074,0
"F808",113248,0,0,0,0,0,137255,80632,0
"F809",220512,0,0,0,0,0,243822,269112,0
"F811",83783,0,0,0,0,0,56407,41242,0
"F812",0,0,0,0,0,0,5911,17026,0
"F813",60473,0,0,0,0,0,51267,17633,0
"F814",22431,0,0,0,0,0,11876,18024,0
"F818",0,0,0,0,0,0,0,0,0
"F821",0,0,0,0,0,0,0,0,0
"F822",0,0,0,0,0,0,0,0,0
"F826",0,0,0,0,0,0,0,0,0
"F827",0,0,0,0,0,0,0,0,0
"F828",0,0,0,0,0,0,0,0,0
"F829",602265,0,0,0,643291,953254,662891,0,786963
"F830",369442,0,0,0,235288,355371,329147,0,365015
"F831",2993325,2141555,1639075,1566555,1434435,1411088,1300764,1148701,0
